,data_set,np_seed,tf_seed,serialized_model,trial_idx,rectifier,kernel_init,kernel_size,strides,train_batch_size,epochs,q_train_size,retrain_tries,bits,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-09 17:09:31.053516,mnist,0,0,Sequential2020-06-09 17:09:31.053516,0,relu,GlorotUniform,3,2,128,10,10000,1,1.584962500721156,0.9843000173568726,0.7454000115394592,0.711899995803833
2020-06-09 17:12:58.828209,mnist,0,0,Sequential2020-06-09 17:12:58.828209,0,relu,GlorotUniform,3,2,128,10,10000,1,2.0,0.9833999872207642,0.8217999935150146,0.7469000220298767
2020-06-09 17:16:22.646661,mnist,0,0,Sequential2020-06-09 17:16:22.646661,0,relu,GlorotUniform,3,2,128,10,10000,1,2.321928094887362,0.9854999780654907,0.7228000164031982,0.8101000189781189
2020-06-09 17:19:41.578426,mnist,0,0,Sequential2020-06-09 17:19:41.578426,0,relu,GlorotUniform,3,2,128,10,10000,1,2.584962500721156,0.9829999804496765,0.6959999799728394,0.7211999893188477
2020-06-09 17:22:58.948524,mnist,0,0,Sequential2020-06-09 17:22:58.948524,0,relu,GlorotUniform,3,2,128,10,10000,1,2.807354922057604,0.9833999872207642,0.7914999723434448,0.713699996471405
2020-06-09 17:29:24.875444,mnist,0,0,Sequential2020-06-09 17:29:24.875444,0,relu,GlorotUniform,3,2,128,10,10000,2,1.584962500721156,0.9886000156402588,0.8446000218391418,0.8852999806404114
2020-06-09 17:35:45.594177,mnist,0,0,Sequential2020-06-09 17:35:45.594177,0,relu,GlorotUniform,3,2,128,10,10000,2,2.0,0.9832000136375427,0.7508999705314636,0.9290000200271606
2020-06-09 17:42:06.107038,mnist,0,0,Sequential2020-06-09 17:42:06.107038,0,relu,GlorotUniform,3,2,128,10,10000,2,2.321928094887362,0.9869999885559082,0.8199999928474426,0.9244999885559082
2020-06-09 17:48:17.997527,mnist,0,0,Sequential2020-06-09 17:48:17.997527,0,relu,GlorotUniform,3,2,128,10,10000,2,2.584962500721156,0.9868000149726868,0.830299973487854,0.9646999835968018
2020-06-09 17:54:29.831272,mnist,0,0,Sequential2020-06-09 17:54:29.831272,0,relu,GlorotUniform,3,2,128,10,10000,2,2.807354922057604,0.9879999756813049,0.8575999736785889,0.8711000084877014
2020-06-09 18:03:50.557741,mnist,0,0,Sequential2020-06-09 18:03:50.557741,0,relu,GlorotUniform,3,2,128,10,10000,3,1.584962500721156,0.9868999719619751,0.8604000210762024,0.9621999859809875
2020-06-09 18:13:09.490261,mnist,0,0,Sequential2020-06-09 18:13:09.490261,0,relu,GlorotUniform,3,2,128,10,10000,3,2.0,0.9876999855041504,0.7506999969482422,0.9606999754905701
2020-06-09 18:22:21.615355,mnist,0,0,Sequential2020-06-09 18:22:21.615355,0,relu,GlorotUniform,3,2,128,10,10000,3,2.321928094887362,0.9865999817848206,0.8255000114440918,0.9678999781608582
2020-06-09 18:31:30.281372,mnist,0,0,Sequential2020-06-09 18:31:30.281372,0,relu,GlorotUniform,3,2,128,10,10000,3,2.584962500721156,0.9886999726295471,0.7577000260353088,0.954200029373169
2020-06-09 18:40:40.950441,mnist,0,0,Sequential2020-06-09 18:40:40.950441,0,relu,GlorotUniform,3,2,128,10,10000,3,2.807354922057604,0.9886999726295471,0.8457000255584717,0.9717000126838684
2020-06-09 18:45:10.339189,mnist,0,0,Sequential2020-06-09 18:45:10.339189,0,relu,GlorotUniform,5,2,128,10,10000,1,1.584962500721156,0.9879999756813049,0.8492000102996826,0.8446999788284302
2020-06-09 18:49:36.151105,mnist,0,0,Sequential2020-06-09 18:49:36.151105,0,relu,GlorotUniform,5,2,128,10,10000,1,2.0,0.9879999756813049,0.8799999952316284,0.5741999745368958
2020-06-09 18:54:01.835116,mnist,0,0,Sequential2020-06-09 18:54:01.835116,0,relu,GlorotUniform,5,2,128,10,10000,1,2.321928094887362,0.98580002784729,0.85589998960495,0.7605000138282776
2020-06-09 18:58:26.919258,mnist,0,0,Sequential2020-06-09 18:58:26.919258,0,relu,GlorotUniform,5,2,128,10,10000,1,2.584962500721156,0.9858999848365784,0.8727999925613403,0.8658000230789185
2020-06-09 19:02:54.830673,mnist,0,0,Sequential2020-06-09 19:02:54.830673,0,relu,GlorotUniform,5,2,128,10,10000,1,2.807354922057604,0.9887999892234802,0.8385000228881836,0.8180999755859375
2020-06-09 19:11:49.276884,mnist,0,0,Sequential2020-06-09 19:11:49.276884,0,relu,GlorotUniform,5,2,128,10,10000,2,1.584962500721156,0.9889000058174133,0.9351000189781189,0.8700000047683716
2020-06-09 19:20:49.272766,mnist,0,0,Sequential2020-06-09 19:20:49.272766,0,relu,GlorotUniform,5,2,128,10,10000,2,2.0,0.9887999892234802,0.9162999987602234,0.9049000144004822
2020-06-09 19:29:47.240827,mnist,0,0,Sequential2020-06-09 19:29:47.240827,0,relu,GlorotUniform,5,2,128,10,10000,2,2.321928094887362,0.9904000163078308,0.9312000274658203,0.9569000005722046
2020-06-09 19:38:35.980351,mnist,0,0,Sequential2020-06-09 19:38:35.980351,0,relu,GlorotUniform,5,2,128,10,10000,2,2.584962500721156,0.9904000163078308,0.9409000277519226,0.9706000089645386
2020-06-09 19:47:20.754365,mnist,0,0,Sequential2020-06-09 19:47:20.754365,0,relu,GlorotUniform,5,2,128,10,10000,2,2.807354922057604,0.9898999929428101,0.9279000163078308,0.9606999754905701
2020-06-09 20:00:36.099365,mnist,0,0,Sequential2020-06-09 20:00:36.099365,0,relu,GlorotUniform,5,2,128,10,10000,3,1.584962500721156,0.9891999959945679,0.9398999810218811,0.9750000238418579
2020-06-09 20:13:58.921118,mnist,0,0,Sequential2020-06-09 20:13:58.921118,0,relu,GlorotUniform,5,2,128,10,10000,3,2.0,0.9890999794006348,0.8525000214576721,0.9592000246047974
2020-06-09 20:27:16.168747,mnist,0,0,Sequential2020-06-09 20:27:16.168747,0,relu,GlorotUniform,5,2,128,10,10000,3,2.321928094887362,0.9901000261306763,0.9273999929428101,0.9764999747276306
2020-06-09 20:40:30.660946,mnist,0,0,Sequential2020-06-09 20:40:30.660946,0,relu,GlorotUniform,5,2,128,10,10000,3,2.584962500721156,0.9907000064849854,0.9193999767303467,0.9527000188827515
2020-06-09 20:53:40.721857,mnist,0,0,Sequential2020-06-09 20:53:40.721857,0,relu,GlorotUniform,5,2,128,10,10000,3,2.807354922057604,0.9907000064849854,0.8822000026702881,0.9556000232696533
2020-06-09 20:59:22.283624,mnist,0,0,Sequential2020-06-09 20:59:22.283624,0,relu,GlorotUniform,7,2,128,10,10000,1,1.584962500721156,0.9879999756813049,0.9182999730110168,0.9081000089645386
2020-06-09 21:04:58.490775,mnist,0,0,Sequential2020-06-09 21:04:58.490775,0,relu,GlorotUniform,7,2,128,10,10000,1,2.0,0.9833999872207642,0.7684000134468079,0.8816999793052673
2020-06-09 21:10:35.853412,mnist,0,0,Sequential2020-06-09 21:10:35.853412,0,relu,GlorotUniform,7,2,128,10,10000,1,2.321928094887362,0.986299991607666,0.8366000056266785,0.8668000102043152
2020-06-09 21:16:09.990371,mnist,0,0,Sequential2020-06-09 21:16:09.990371,0,relu,GlorotUniform,7,2,128,10,10000,1,2.584962500721156,0.9890999794006348,0.8916000127792358,0.8723999857902527
