,data_set,np_seed,tf_seed,serialized_model,kernels_per_layer,rectifier,kernel_init,conv_kernel_sizes,conv_strides,dropout_rates,pool_sizes,pool_strides,train_batch_size,epochs,q_train_size,ignore_layers,retrain_tries,retrain_init,bits,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-12_14:35:17.347568,mnist,0,0,Sequential2020-06-12_14:35:17.347599,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9473000168800354,0.44670000672340393,0.18050000071525574
2020-06-12_14:35:45.736085,mnist,0,0,Sequential2020-06-12_14:35:45.736115,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9473000168800354,0.5016999840736389,0.1826000064611435
2020-06-12_14:36:14.422672,mnist,0,0,Sequential2020-06-12_14:36:14.422703,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9473000168800354,0.491100013256073,0.18080000579357147
2020-06-12_14:37:08.054337,mnist,0,0,Sequential2020-06-12_14:37:08.054368,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9580000042915344,0.5365999937057495,0.1868000030517578
2020-06-12_14:38:00.530949,mnist,0,0,Sequential2020-06-12_14:38:00.530980,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9575999975204468,0.4812999963760376,0.3531999886035919
2020-06-12_14:38:53.199075,mnist,0,0,Sequential2020-06-12_14:38:53.199106,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9578999876976013,0.4952000081539154,0.37450000643730164
2020-06-12_14:39:21.065802,mnist,0,0,Sequential2020-06-12_14:39:21.065831,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9413999915122986,0.39250001311302185,0.35179999470710754
2020-06-12_14:39:49.094202,mnist,0,0,Sequential2020-06-12_14:39:49.094232,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9413999915122986,0.6122999787330627,0.3073999881744385
2020-06-12_14:40:16.997741,mnist,0,0,Sequential2020-06-12_14:40:16.997774,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9413999915122986,0.6057999730110168,0.2973000109195709
2020-06-12_14:41:09.922604,mnist,0,0,Sequential2020-06-12_14:41:09.922636,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9524000287055969,0.5745999813079834,0.3483999967575073
