,data_set,np_seed,tf_seed,serialized_model,layer_widths,rectifier,train_batch_size,epochs,q_train_size,ignore_layers,retrain_tries,retrain_init,bits,alphabet_scalar,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-15_17:08:44.715561,mnist,0,0,Sequential2020-06-15_17:08:44.715591,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9805999994277954,0.8069999814033508,0.9246000051498413
2020-06-15_17:26:05.398305,mnist,0,0,Sequential2020-06-15_17:26:05.398336,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9805999994277954,0.9664000272750854,0.9244999885559082
2020-06-15_17:43:26.382222,mnist,0,0,Sequential2020-06-15_17:43:26.382257,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9805999994277954,0.9678000211715698,0.8974000215530396
2020-06-15_18:00:47.153962,mnist,0,0,Sequential2020-06-15_18:00:47.153994,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9805999994277954,0.9527000188827515,0.6233000159263611
2020-06-15_18:19:38.348528,mnist,0,0,Sequential2020-06-15_18:19:38.348559,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9785000085830688,0.8539999723434448,0.8356999754905701
2020-06-15_18:38:28.405767,mnist,0,0,Sequential2020-06-15_18:38:28.405798,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9785000085830688,0.965499997138977,0.9470999836921692
2020-06-15_18:57:24.866747,mnist,0,0,Sequential2020-06-15_18:57:24.866779,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9785000085830688,0.9587000012397766,0.843500018119812
2020-06-15_19:16:15.267833,mnist,0,0,Sequential2020-06-15_19:16:15.267864,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9785000085830688,0.9448999762535095,0.3644999861717224
2020-06-15_19:33:34.341372,mnist,0,1,Sequential2020-06-15_19:33:34.341404,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9812999963760376,0.870199978351593,0.9354000091552734
2020-06-15_19:50:52.031942,mnist,0,1,Sequential2020-06-15_19:50:52.031973,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9812999963760376,0.9666000008583069,0.9473000168800354
2020-06-15_20:08:16.550689,mnist,0,1,Sequential2020-06-15_20:08:16.550720,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9812999963760376,0.965399980545044,0.8733000159263611
2020-06-15_20:25:32.794606,mnist,0,1,Sequential2020-06-15_20:25:32.794637,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9812999963760376,0.9545999765396118,0.6646000146865845
2020-06-15_20:44:17.965995,mnist,0,1,Sequential2020-06-15_20:44:17.966026,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9772999882698059,0.8087000250816345,0.8718000054359436
2020-06-15_21:03:03.764336,mnist,0,1,Sequential2020-06-15_21:03:03.764369,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9772999882698059,0.9611999988555908,0.9401999711990356
2020-06-15_21:21:50.347053,mnist,0,1,Sequential2020-06-15_21:21:50.347088,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9772999882698059,0.954200029373169,0.7932999730110168
2020-06-15_21:40:35.298392,mnist,0,1,Sequential2020-06-15_21:40:35.298425,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9772999882698059,0.9420999884605408,0.3292999863624573
2020-06-15_21:57:58.514649,mnist,1,0,Sequential2020-06-15_21:57:58.514681,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9805999994277954,0.8069999814033508,0.9246000051498413
2020-06-15_22:16:40.230021,mnist,1,0,Sequential2020-06-15_22:16:40.230052,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9805999994277954,0.9664000272750854,0.9244999885559082
2020-06-15_22:34:24.583065,mnist,1,0,Sequential2020-06-15_22:34:24.583097,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9805999994277954,0.9678000211715698,0.8974000215530396
2020-06-15_22:51:35.865178,mnist,1,0,Sequential2020-06-15_22:51:35.865211,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9805999994277954,0.9527000188827515,0.6233000159263611
2020-06-15_23:10:23.222792,mnist,1,0,Sequential2020-06-15_23:10:23.222823,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9785000085830688,0.8539999723434448,0.8356999754905701
2020-06-15_23:29:04.005075,mnist,1,0,Sequential2020-06-15_23:29:04.005106,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9785000085830688,0.965499997138977,0.9470999836921692
2020-06-15_23:47:49.958135,mnist,1,0,Sequential2020-06-15_23:47:49.958167,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9785000085830688,0.9587000012397766,0.843500018119812
2020-06-16_00:06:34.438143,mnist,1,0,Sequential2020-06-16_00:06:34.438176,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9785000085830688,0.9448999762535095,0.3644999861717224
2020-06-16_00:23:53.097472,mnist,1,1,Sequential2020-06-16_00:23:53.097505,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9812999963760376,0.870199978351593,0.9354000091552734
2020-06-16_00:41:07.447361,mnist,1,1,Sequential2020-06-16_00:41:07.447398,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9812999963760376,0.9666000008583069,0.9473000168800354
2020-06-16_00:58:30.136745,mnist,1,1,Sequential2020-06-16_00:58:30.136776,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9812999963760376,0.965399980545044,0.8733000159263611
2020-06-16_01:15:49.540934,mnist,1,1,Sequential2020-06-16_01:15:49.540965,"(300,)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9812999963760376,0.9545999765396118,0.6646000146865845
2020-06-16_01:34:35.284159,mnist,1,1,Sequential2020-06-16_01:34:35.284190,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9772999882698059,0.8087000250816345,0.8718000054359436
2020-06-16_01:53:21.120502,mnist,1,1,Sequential2020-06-16_01:53:21.120532,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9772999882698059,0.9611999988555908,0.9401999711990356
2020-06-16_02:12:17.120998,mnist,1,1,Sequential2020-06-16_02:12:17.121029,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9772999882698059,0.954200029373169,0.7932999730110168
2020-06-16_02:31:05.714177,mnist,1,1,Sequential2020-06-16_02:31:05.714207,"(300, 100)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9772999882698059,0.9420999884605408,0.3292999863624573
